resp_ID,t_start,t_end,Status,p_ID,unique_qu_ID,erase,condition,exposure,room,view_access,exp_duration_original,exp_duration,light_level_sensation,visual_comfort,glare_Osterhaus,glare_binary,glare_branch_accept,glare_likert4,glare_reflection_screen_likert4,glare_agreement5,colors_outside_agreement5,view_satisfaction_interval10__5only,work_all_day_changes__30only,work_all_day_changes_WHAT,work_all_day_changes_WHY
141,22.06.21 16:57,22.06.21 17:01,Complete,334,334_G3_1_Clear_q1,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Very comfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Strongly agree,10,NA,NA,NA
143,22.06.21 17:23,22.06.21 17:28,Complete,334,334_G3_1_Clear_q2,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Very uncomfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Strongly agree,NA,"No, I am comfortable and do not require changes",NA,NA
145,22.06.21 17:43,22.06.21 17:45,Complete,334,334_G3_2_Blurr_q1,keep,G3,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly low,Very comfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Strongly agree,3,NA,NA,NA
147,22.06.21 18:05,22.06.21 18:10,Complete,334,334_G3_2_Blurr_q2,keep,G3,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Very comfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Strongly agree,NA,"No, I am comfortable and do not require changes",NA,NA
148,23.06.21 15:48,23.06.21 15:52,Complete,335,335_NG_1_Blurr_q1,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly high,Comfortable,Noticeable,No,NA,Slightly,Slightly,Neither agree nor disagree,Agree,8,NA,NA,NA
150,23.06.21 16:14,23.06.21 16:21,Complete,335,335_NG_1_Blurr_q2,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly high,Comfortable,Noticeable,No,NA,Slightly,Slightly,Neither agree nor disagree,Agree,NA,I have no preference,NA,NA
152,23.06.21 16:32,23.06.21 16:40,Complete,335,335_NG_2_Clear_q1,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Noticeable,No,NA,Slightly,Not at all,Agree,Strongly agree,9,NA,NA,NA
154,23.06.21 16:57,23.06.21 17:03,Complete,335,335_NG_2_Clear_q2,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Noticeable,No,NA,Not at all,Not at all,Agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
149,23.06.21 15:51,23.06.21 15:57,Complete,336,336_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly low,Comfortable,Noticeable,No,NA,Not at all,Not at all,Disagree,Agree,6,NA,NA,NA
151,23.06.21 16:20,23.06.21 16:29,Complete,336,336_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly low,Comfortable,Noticeable,No,NA,Slightly,Slightly,Disagree,Neither agree nor disagree,NA,"Yes, I would like the following changes:",the sun,sun exposure
153,23.06.21 16:27,23.06.21 16:44,Complete,336,336_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Neither agree nor disagree,Strongly disagree,1,NA,NA,NA
155,23.06.21 17:02,23.06.21 17:09,Complete,336,336_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Comfortable,Noticeable,No,NA,Not at all,Not at all,Neither agree nor disagree,Disagree,NA,"Yes, I would like the following changes:",i woold the glass blocking the view,glass blocking the view a little bit hot
157,25.06.21 14:50,25.06.21 14:54,Complete,337,337_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly low,Very comfortable,Noticeable,Yes,Acceptable,Slightly,Not at all,Disagree,Strongly agree,9,NA,NA,NA
