"session_number","condition","exposure_nr","siblings","Dev<25","qu_usable","qu1_qu2","qu_nr","unique_qu_ID"
45,"G1","323_G1_1_Clear","381","yes","yes",2,2,"323_G1_1_Clear_q2"
46,"G1","323_G1_2_Blurr","382","yes","yes",2,2,"323_G1_2_Blurr_q2"
47,"G1","324_G1_1_Blurr","381","yes","yes",2,2,"324_G1_1_Blurr_q2"
48,"G1","324_G1_2_Clear","382","yes","yes",2,2,"324_G1_2_Clear_q2"
49,"G3","325_G3_1_Blurr","411","yes","yes",2,2,"325_G3_1_Blurr_q2"
50,"G3","325_G3_2_Clear","412","yes","yes",2,2,"325_G3_2_Clear_q2"
51,"G3","326_G3_1_Clear","411","yes","yes",2,2,"326_G3_1_Clear_q2"
52,"G3","326_G3_2_Blurr","412","yes","yes",2,2,"326_G3_2_Blurr_q2"
53,"G3","327_G3_1_Clear","421","yes","yes",2,2,"327_G3_1_Clear_q2"
54,"G3","327_G3_2_Blurr","422","no","no",2,2,"327_G3_2_Blurr_q2"
55,"G3","328_G3_1_Blurr","421","yes","yes",2,2,"328_G3_1_Blurr_q2"
56,"G3","328_G3_2_Clear","422","no","no",2,2,"328_G3_2_Clear_q2"
57,"G3","329_G3_1_Blurr","431","yes","yes",2,2,"329_G3_1_Blurr_q2"
58,"G3","329_G3_2_Clear","432","yes","yes",2,2,"329_G3_2_Clear_q2"
59,"G3","330_G3_1_Clear","431","yes","yes",2,2,"330_G3_1_Clear_q2"
60,"G3","330_G3_2_Blurr","432","yes","yes",2,2,"330_G3_2_Blurr_q2"
61,"G3","331_G3_1_Blurr","441","yes","yes",2,2,"331_G3_1_Blurr_q2"
62,"G3","331_G3_2_Clear","442","no","no",2,2,"331_G3_2_Clear_q2"
63,"G3","332_G3_1_Clear","441","yes","yes",2,2,"332_G3_1_Clear_q2"
64,"G3","332_G3_2_Blurr","442","no","no",2,2,"332_G3_2_Blurr_q2"
65,"G3","333_G3_1_Blurr","491","yes","yes",2,2,"333_G3_1_Blurr_q2"
66,"G3","333_G3_2_Clear","492","no","no",2,2,"333_G3_2_Clear_q2"
67,"G3","334_G3_1_Clear","491","yes","yes",2,2,"334_G3_1_Clear_q2"
68,"G3","334_G3_2_Blurr","492","no","no",2,2,"334_G3_2_Blurr_q2"
69,"NG","335_NG_1_Blurr","501","no","no",2,2,"335_NG_1_Blurr_q2"
70,"NG","335_NG_2_Clear","502","no","no",2,2,"335_NG_2_Clear_q2"
71,"NG","336_NG_1_Clear","501","no","no",2,2,"336_NG_1_Clear_q2"
72,"NG","336_NG_2_Blurr","502","no","no",2,2,"336_NG_2_Blurr_q2"
73,"NG","337_NG_1_Clear","521","yes","yes",2,2,"337_NG_1_Clear_q2"
74,"NG","337_NG_2_Blurr","522","no","yes",2,2,"337_NG_2_Blurr_q2"
75,"NG","338_NG_1_Blurr","521","yes","yes",2,2,"338_NG_1_Blurr_q2"
76,"NG","338_NG_2_Clear","522","no","yes",2,2,"338_NG_2_Clear_q2"
77,"NG","339_NG_1_Blurr","551","yes","yes",2,2,"339_NG_1_Blurr_q2"
78,"NG","339_NG_2_Clear","552","yes","yes",2,2,"339_NG_2_Clear_q2"
79,"NG","340_NG_1_Clear","551","no","yes",2,2,"340_NG_1_Clear_q2"
80,"NG","340_NG_2_Blurr","552","yes","yes",2,2,"340_NG_2_Blurr_q2"
81,"NG","341_NG_1_Blurr","561","no","no",2,2,"341_NG_1_Blurr_q2"
82,"NG","341_NG_2_Clear","562","no","no",2,2,"341_NG_2_Clear_q2"
83,"NG","342_NG_1_Clear","561","no","no",2,2,"342_NG_1_Clear_q2"
84,"NG","342_NG_2_Blurr","562","no","no",2,2,"342_NG_2_Blurr_q2"
85,"G1","343_G1_1_Blurr","591","yes","yes",2,2,"343_G1_1_Blurr_q2"
86,"G1","343_G1_2_Clear","592","yes","yes",2,2,"343_G1_2_Clear_q2"
87,"G1","344_G1_1_Clear","591","no","no",2,2,"344_G1_1_Clear_q2"
88,"G1","344_G1_2_Blurr","592","yes","yes",2,2,"344_G1_2_Blurr_q2"
89,"G1","345_G1_1_Blurr","661","yes","yes",2,2,"345_G1_1_Blurr_q2"
90,"G1","345_G1_2_Clear","662","yes","yes",2,2,"345_G1_2_Clear_q2"
91,"G1","346_G1_1_Clear","661","no","no",2,2,"346_G1_1_Clear_q2"
92,"G1","346_G1_2_Blurr","662","yes","yes",2,2,"346_G1_2_Blurr_q2"
93,"NG","347_NG_1_Blurr","691","no","no",2,2,"347_NG_1_Blurr_q2"
94,"NG","347_NG_2_Clear","692","yes","yes",2,2,"347_NG_2_Clear_q2"
95,"NG","348_NG_1_Clear","691","no","no",2,2,"348_NG_1_Clear_q2"
96,"NG","348_NG_2_Blurr","692","yes","yes",2,2,"348_NG_2_Blurr_q2"
97,"G1","349_G1_1_Blurr","761","yes","yes",2,2,"349_G1_1_Blurr_q2"
98,"G1","349_G1_2_Clear","762","yes","yes",2,2,"349_G1_2_Clear_q2"
99,"G1","350_G1_1_Clear","761","yes","yes",2,2,"350_G1_1_Clear_q2"
100,"G1","350_G1_2_Blurr","762","yes","yes",2,2,"350_G1_2_Blurr_q2"
101,"G1","351_G1_1_Blurr","771","yes","yes",2,2,"351_G1_1_Blurr_q2"
102,"G1","351_G1_2_Clear","772","yes","yes",2,2,"351_G1_2_Clear_q2"
103,"G1","352_G1_1_Clear","771","yes","yes",2,2,"352_G1_1_Clear_q2"
104,"G1","352_G1_2_Blurr","772","yes","yes",2,2,"352_G1_2_Blurr_q2"
105,"G1","353_G1_1_Clear","781","no","no",2,2,"353_G1_1_Clear_q2"
106,"G1","353_G1_2_Blurr","782","yes","yes",2,2,"353_G1_2_Blurr_q2"
107,"G1","354_G1_1_Blurr","781","yes","yes",2,2,"354_G1_1_Blurr_q2"
108,"G1","354_G1_2_Clear","782","yes","yes",2,2,"354_G1_2_Clear_q2"
109,"G1","355_G1_1_Blurr","791","yes","yes",2,2,"355_G1_1_Blurr_q2"
110,"G1","355_G1_2_Clear","792","yes","yes",2,2,"355_G1_2_Clear_q2"
111,"G1","356_G1_1_Clear","791","yes","yes",2,2,"356_G1_1_Clear_q2"
112,"G1","356_G1_2_Blurr","792","yes","yes",2,2,"356_G1_2_Blurr_q2"
113,"G3","357_G3_1_Clear","801","no","no",2,2,"357_G3_1_Clear_q2"
114,"G3","357_G3_2_Blurr","802","no","no",2,2,"357_G3_2_Blurr_q2"
115,"G3","358_G3_1_Blurr","801","no","no",2,2,"358_G3_1_Blurr_q2"
116,"G3","358_G3_2_Clear","802","no","no",2,2,"358_G3_2_Clear_q2"
117,"NG","359_NG_1_Clear","831","yes","yes",2,2,"359_NG_1_Clear_q2"
118,"NG","359_NG_2_Blurr","832","no","no",2,2,"359_NG_2_Blurr_q2"
119,"NG","360_NG_1_Blurr","831","no","yes",2,2,"360_NG_1_Blurr_q2"
120,"NG","360_NG_2_Clear","832","no","no",2,2,"360_NG_2_Clear_q2"
121,"G3","361_G3_1_Clear","851","no","yes",2,2,"361_G3_1_Clear_q2"
122,"G3","361_G3_2_Blurr","852","yes","yes",2,2,"361_G3_2_Blurr_q2"
123,"G3","362_G3_1_Blurr","851","yes","yes",2,2,"362_G3_1_Blurr_q2"
124,"G3","362_G3_2_Clear","852","no","no",2,2,"362_G3_2_Clear_q2"
125,"G3","363_G3_1_Blurr","861","yes","yes",2,2,"363_G3_1_Blurr_q2"
126,"G3","363_G3_2_Clear","862","yes","yes",2,2,"363_G3_2_Clear_q2"
127,"G3","364_G3_1_Clear","861","yes","yes",2,2,"364_G3_1_Clear_q2"
NA,NA,NA,NA,NA,NA,2,2,"NA_q2"
